date,Assegnazione in corso,Belluno,Cluster domiciliati Comune di Vò,Domicilio fuori Veneto,Padova,Rovigo,Treviso,Veneto,Venezia,Verona,Vicenza
20200306,0,0,0,0,0,0,0,0,0,0,0
20200307,0,0,0,0,0,0,0,0,0,0,0
20200308,0,0,0,0,0,0,0,0,0,0,0
20200309,0,0,0,0,0,0,0,0,0,0,0
20200310,0,0,0,0,0,0,0,0,0,0,0
20200311,0,0,0,0,0,0,0,0,0,0,0
20200312,0,0,0,0,0,0,0,0,0,0,0
20200313,0,0,0,0,0,0,0,0,0,0,0
20200314,0,0,0,0,0,0,0,0,0,0,0
20200315,0,0,0,0,0,0,0,0,0,0,0
20200316,0,0,0,0,0,0,0,0,0,0,0
20200317,0,0,0,0,0,0,0,0,0,0,0
20200318,0,0,0,0,0,0,0,0,0,0,0
20200319,0,0,0,0,0,0,0,0,0,0,0
20200320,0,0,0,0,0,0,0,0,0,0,0
20200321,0,0,0,0,0,0,0,0,0,0,0
20200322,0,0,0,0,0,0,0,0,0,0,0
20200323,0,0,0,0,0,0,0,0,0,0,0
20200324,0,0,0,0,0,0,0,0,0,0,0
20200325,0,0,0,0,0,0,0,0,0,0,0
20200326,0,0,0,0,0,0,0,0,0,0,0
20200327,0,0,0,0,0,0,0,0,0,0,0
20200328,0,0,0,0,0,0,0,0,0,0,0
20200329,0,0,0,0,0,0,0,0,0,0,0
20200330,0,0,0,0,0,0,0,0,0,0,0
20200331,0,12,3,4,79,3,108,492,71,145,67
20200401,0,15,3,4,84,4,109,517,77,152,69
20200402,0,19,3,4,90,4,114,556,83,167,72
20200403,0,22,3,4,94,5,118,598,93,182,77
20200404,0,22,3,5,103,5,122,624,96,189,79
20200405,0,22,3,6,113,6,126,654,99,193,86
20200406,1,27,3,6,117,6,130,684,102,202,90
20200407,1,28,3,6,126,8,142,722,107,210,91
20200408,1,30,3,7,131,10,145,750,112,219,92
20200409,1,30,3,8,139,12,149,784,117,227,98
20200410,1,32,3,8,149,13,154,824,118,235,111
20200411,1,35,3,8,154,17,158,852,123,242,111
20200412,1,36,3,8,156,18,161,869,128,247,111
20200413,1,37,3,8,164,18,162,899,132,257,117
20200414,1,37,3,8,171,20,171,930,139,260,120
20200415,1,40,3,8,180,21,173,959,141,267,125
20200416,1,41,3,9,186,21,190,1019,150,277,141
20200417,1,41,3,9,186,21,191,1026,153,279,142
20200418,1,41,3,9,186,21,191,1026,153,279,142
20200419,1,49,3,9,195,21,202,1087,159,298,150
20200420,1,51,3,9,200,23,208,1112,162,304,151
20200421,1,52,3,10,205,24,213,1154,170,318,158
20200422,1,56,3,10,209,24,217,1181,175,325,161
20200423,1,58,3,10,212,25,225,1206,179,329,164
20200424,1,59,3,10,222,28,236,1244,184,332,169
20200425,1,61,3,10,227,28,238,1288,187,342,191
20200426,1,66,3,10,228,28,238,1315,193,352,196
20200427,1,67,3,9,232,28,250,1344,196,360,198
20200428,1,72,3,10,234,29,252,1408,200,403,204
20200429,0,72,3,11,236,30,255,1437,208,411,211
20200430,0,79,3,13,244,31,258,1474,214,414,218
20200501,0,79,3,13,245,31,259,1479,215,416,218
20200502,0,81,3,13,247,31,268,1502,218,421,220
20200503,0,82,3,13,248,31,268,1516,220,425,226
20200504,0,85,3,13,250,31,269,1539,228,430,230
20200505,0,90,3,13,251,31,271,1557,232,432,234
20200506,0,91,3,13,251,31,272,1579,238,442,238
20200507,0,92,3,12,251,31,274,1619,240,453,263
20200508,0,94,3,13,251,31,276,1641,246,463,264
20200509,0,96,3,12,251,31,279,1650,246,466,266
20200510,0,96,3,12,252,31,280,1661,248,471,268
20200511,0,98,3,12,256,31,283,1681,250,476,272
20200512,0,99,3,12,259,32,283,1705,256,481,280
20200513,0,101,3,12,262,34,286,1727,256,488,285
20200514,0,102,3,12,264,34,296,1757,261,495,290
20200515,0,104,3,13,263,34,298,1776,264,505,292
20200516,0,104,3,13,264,34,301,1787,269,505,294
20200517,0,104,3,13,264,34,301,1798,270,513,296
20200518,0,105,3,13,268,34,303,1814,271,519,298
20200519,0,105,3,13,270,34,303,1830,275,528,299
20200520,0,105,3,13,270,34,306,1836,276,529,300
20200521,0,105,3,13,271,34,308,1853,277,537,305
20200522,0,105,3,13,271,34,308,1862,278,539,311
20200523,0,105,3,13,273,34,308,1867,278,542,311
20200524,0,107,3,13,273,34,308,1874,279,546,311
20200525,0,109,3,13,273,34,309,1883,281,550,311
20200526,0,110,3,13,275,34,312,1894,282,551,314
20200527,0,110,3,13,276,34,312,1895,282,551,314
20200528,0,110,3,13,278,34,313,1903,284,553,315
20200529,0,110,3,14,279,34,313,1916,286,556,321
20200530,0,110,3,14,280,34,313,1917,286,556,321
20200531,0,110,3,14,281,34,313,1918,286,556,321
20200601,0,110,3,14,284,34,313,1921,286,556,321
20200602,0,110,3,14,284,34,313,1921,286,556,321
20200603,0,110,3,14,287,34,314,1931,287,557,325
20200604,0,110,3,15,288,34,314,1938,288,561,325
20200605,0,110,3,15,291,34,316,1948,290,563,326
20200606,0,111,3,15,292,34,316,1953,291,565,326
20200607,0,111,3,15,292,34,317,1954,291,565,326
20200608,0,111,3,15,295,34,318,1961,291,567,327
20200609,0,111,3,15,295,34,318,1961,291,567,327
20200610,0,111,3,15,295,34,320,1964,291,567,328
20200611,0,111,3,15,295,34,320,1964,291,567,328
20200612,0,111,3,15,296,34,319,1977,295,570,334
