date,Assegnazione in corso,Belluno,Cluster domiciliati Comune di Vò,Domicilio fuori Veneto,Padova,Rovigo,Treviso,Veneto,Venezia,Verona,Vicenza
20200306,0,0,0,0,0,0,0,0,0,0,0
20200307,0,0,0,0,0,0,0,0,0,0,0
20200308,0,0,0,0,0,0,0,0,0,0,0
20200309,0,0,0,0,0,0,0,0,0,0,0
20200310,0,0,0,0,0,0,0,0,0,0,0
20200311,0,0,0,0,0,0,0,0,0,0,0
20200312,0,0,0,0,0,0,0,0,0,0,0
20200313,0,0,0,0,0,0,0,0,0,0,0
20200314,0,0,0,0,0,0,0,0,0,0,0
20200315,0,0,0,0,0,0,0,0,0,0,0
20200316,0,0,0,0,0,0,0,0,0,0,0
20200317,0,0,0,0,0,0,0,0,0,0,0
20200318,0,0,0,0,0,0,0,0,0,0,0
20200319,0,0,0,0,0,0,0,0,0,0,0
20200320,0,0,0,0,0,0,0,0,0,0,0
20200321,0,0,0,0,0,0,0,0,0,0,0
20200322,0,0,0,0,0,0,0,0,0,0,0
20200323,0,0,0,0,0,0,0,0,0,0,0
20200324,0,0,0,0,0,0,0,0,0,0,0
20200325,0,0,0,0,0,0,0,0,0,0,0
20200326,0,0,0,0,0,0,0,0,0,0,0
20200327,0,0,0,0,0,0,0,0,0,0,0
20200328,0,0,0,0,0,0,0,0,0,0,0
20200329,0,0,0,0,0,0,0,0,0,0,0
20200330,0,0,0,0,0,0,0,0,0,0,0
20200331,86,409,23,166,2026,123,1306,8359,1038,2037,1145
20200401,55,433,20,158,2101,127,1319,8626,1066,2124,1223
20200402,65,443,17,161,2184,145,1360,8990,1114,2196,1305
20200403,70,458,17,163,2231,162,1380,9177,1125,2232,1339
20200404,78,484,17,177,2294,162,1374,9399,1139,2282,1392
20200405,86,503,18,176,2406,164,1394,9790,1204,2422,1417
20200406,87,518,17,173,2482,178,1396,10025,1248,2489,1437
20200407,82,518,17,172,2575,188,1412,10245,1288,2539,1454
20200408,101,525,14,184,2548,192,1415,10299,1285,2561,1474
20200409,116,549,14,182,2574,199,1427,10497,1245,2675,1516
20200410,78,552,11,186,2585,202,1421,10592,1221,2812,1524
20200411,82,548,11,190,2535,199,1430,10713,1273,2918,1527
20200412,85,573,10,188,2519,200,1429,10759,1248,2987,1520
20200413,87,574,9,186,2472,198,1427,10710,1227,3005,1525
20200414,75,591,9,184,2465,204,1435,10741,1223,3032,1523
20200415,70,623,8,188,2363,218,1537,10879,1229,3064,1579
20200416,69,649,8,183,2294,213,1576,10791,1196,3051,1552
20200417,70,653,9,186,2243,213,1577,10618,1124,3017,1526
20200418,70,653,9,186,2243,213,1577,10618,1124,3017,1526
20200419,63,679,8,181,2003,217,1437,10210,1020,3032,1570
20200420,65,678,8,186,1887,215,1387,10061,1018,3023,1594
20200421,60,718,7,188,1889,266,1378,10077,1012,3010,1549
20200422,57,713,6,189,1814,294,1342,9991,1035,3007,1534
20200423,54,705,6,184,1814,288,1333,9925,1020,3001,1520
20200424,50,730,6,177,1654,289,1254,9679,998,3021,1500
20200425,44,724,5,176,1552,279,1212,9432,955,2982,1503
20200426,45,701,4,175,1423,277,1179,9138,875,2967,1492
20200427,48,688,5,169,1305,280,1109,8860,828,2971,1457
20200428,49,655,5,169,1173,272,1107,8601,818,2926,1427
20200429,38,664,5,166,1098,272,1107,8369,791,2863,1365
20200430,36,672,12,158,1076,273,1081,8191,757,2842,1284
20200501,36,635,4,155,937,256,1020,7779,729,2780,1227
20200502,37,615,4,162,819,243,975,7451,672,2727,1197
20200503,37,607,4,159,790,245,960,7299,652,2690,1155
20200504,35,586,2,162,755,244,957,7208,654,2659,1154
20200505,30,561,2,160,725,239,949,6947,622,2565,1094
20200506,30,557,2,160,678,233,938,6739,613,2492,1036
20200507,30,522,2,155,610,223,912,6378,564,2359,1001
20200508,33,497,1,147,560,200,924,5979,495,2142,980
20200509,33,484,1,146,512,201,912,5814,493,2084,948
20200510,35,480,1,144,486,184,841,5554,475,2036,872
20200511,33,472,1,147,462,160,825,5377,440,2006,831
20200512,31,459,1,150,407,156,820,5129,425,1863,817
20200513,31,430,1,151,383,147,817,4953,379,1820,794
20200514,32,383,1,147,363,145,730,4609,357,1722,729
20200515,35,366,1,144,320,119,716,4309,334,1568,706
20200516,34,345,1,147,312,76,701,4116,303,1507,690
20200517,34,334,1,146,306,69,698,4028,292,1471,677
20200518,34,323,1,144,300,72,688,3847,281,1341,663
20200519,33,308,1,138,261,71,686,3636,256,1239,643
20200520,34,291,1,136,268,69,661,3506,245,1173,628
20200521,34,275,1,132,256,64,589,3247,239,1060,597
20200522,33,229,1,132,224,61,539,2954,230,962,543
20200523,33,203,1,129,202,53,475,2705,226,865,518
20200524,33,195,1,129,195,47,471,2643,225,852,495
20200525,29,177,1,129,193,45,451,2505,211,780,489
20200526,27,173,1,129,182,46,437,2382,206,725,456
20200527,27,153,1,129,178,44,420,2287,200,706,429
20200528,27,128,1,130,145,36,346,1949,187,594,355
20200529,27,118,1,126,130,35,313,1799,169,570,310
20200530,27,107,1,123,77,34,297,1576,151,506,253
20200531,27,101,1,121,75,15,278,1476,150,465,243
20200601,27,96,1,120,72,15,274,1457,150,464,238
20200602,27,95,2,120,68,15,277,1396,137,436,219
20200603,27,95,1,120,67,10,271,1376,138,433,214
20200604,27,91,1,118,65,10,271,1298,127,385,203
20200605,27,87,1,116,58,10,260,1197,113,346,179
