residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3855,0,51,297,3507,115
Cluster domiciliati Comune di Vò,88,0,0,4,84,
Treviso,2666,0,137,322,2207,218
Venezia,2679,0,80,298,2301,110
Verona,5113,0,140,571,4402,216
Vicenza,2855,0,67,339,2449,61
Belluno,1183,0,43,112,1028,49
Rovigo,443,0,9,35,399,65
Domicilio fuori Veneto,316,0,114,15,187,
Assegnazione in corso,27,0,26,0,1,
