residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3846,0,51,295,3500,96
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2665,0,246,318,2101,141
Venezia,2668,0,100,291,2277,118
Verona,5107,+1),230,567,4310,264
Vicenza,2852,0,135,327,2390,117
Belluno,1177,0,78,111,988,77
Rovigo,443,0,9,34,400,45
Domicilio fuori Veneto,318,0,115,15,188,
Assegnazione in corso,26,-2,25,0,1,

