residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3580,+34),2003,195,1382,1968
Cluster domiciliati Comune di Vò,87,0,8,3,76,
Treviso,2315,+15),1437,202,676,2419
Venezia,2143,+27),1020,159,964,1979
Verona,3974,+94),3032,298,644,1584
Vicenza,2339,+43),1570,150,619,2286
Belluno,856,+21),679,49,128,1144
Rovigo,306,0,217,21,68,533
Domicilio fuori Veneto,271,+4),181,9,81,
Assegnazione in corso,64,+5),63,1,0,
