residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3504,+36),2243,186,1075,2763
Cluster domiciliati Comune di Vò,87,0,9,3,75,
Treviso,2237,+2),1577,191,469,2819
Venezia,2096,+35),1124,153,819,1988
Verona,3805,+45),3017,279,509,1998
Vicenza,2200,+14),1526,142,532,2281
Belluno,807,+15),653,41,113,1103
Rovigo,301,+2),213,21,67,537
Domicilio fuori Veneto,266,+5),186,9,71,
Assegnazione in corso,71,+1),70,1,0,
