residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),2064,+25),3532
Cluster domiciliati Comune di Vò,85,0,
Treviso,1412,+10),4075
Venezia,1086,+19),4261
Verona,1933,+57),3968
Vicenza,1125,+21),2501
Belluno,411,+15),1189
Rovigo,125,0,538
Domicilio fuori Veneto,164,+1),
Assegnazione in corso,104,+3),
