residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3824,0,312,264,3248,364
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2635,0,701,301,1633,777
Venezia,2630,0,303,269,2058,542
Verona,5006,+4),1507,505,2994,1087
Vicenza,2814,0,690,294,1830,470
Belluno,1151,0,345,104,702,672
Rovigo,438,+1),76,34,328,284
Domicilio fuori Veneto,308,-2,147,13,148,
Assegnazione in corso,34,-1,34,0,0,
