residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3891,+2),66,309,3516,95
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2692,0,57,326,2309,246
Venezia,2696,+2),31,302,2363,214
Verona,5132,0,37,577,4518,434
Vicenza,2876,0,47,356,2473,44
Belluno,1198,+1),21,113,1064,141
Rovigo,446,+1),2,36,408,50
Domicilio fuori Veneto,330,0,115,15,200,
Assegnazione in corso,20,-1,18,0,2,
