residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3861,0,42,300,3519,32
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2669,0,112,325,2232,140
Venezia,2682,0,33,299,2350,130
Verona,5124,0,60,572,4492,253
Vicenza,2862,0,65,343,2454,44
Belluno,1186,+1),24,112,1050,67
Rovigo,444,0,7,36,401,75
Domicilio fuori Veneto,324,0,117,15,192,
Assegnazione in corso,24,0,22,0,2,
