residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3682,+18),1814,212,1656,1167
Cluster domiciliati Comune di Vò,87,0,6,3,78,
Treviso,2395,+9),1333,225,837,1748
Venezia,2308,+29),1020,179,1109,1143
Verona,4222,+58),3001,329,892,1488
Vicenza,2454,+21),1520,164,770,2097
Belluno,987,+8),705,58,224,1258
Rovigo,403,+3),288,25,90,632
Domicilio fuori Veneto,288,0,184,10,94,
Assegnazione in corso,55,-3,54,1,0,
