residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),1225,+31),2669
Cluster domiciliati Comune di Vò,83,0,52
Treviso,979,+44),1856
Venezia,733,+1),3339
Verona,1069,+23),2767
Vicenza,652,+21),2258
Belluno,245,+19),736
Rovigo,76,0,591
Domicilio fuori Veneto,91,+1),
Assegnazione in corso,119,+10),
