residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3791,+3),725,251,2815,611
Cluster domiciliati Comune di Vò,88,0,2,3,83,
Treviso,2562,+2),949,271,1342,1128
Venezia,2533,+14),622,232,1679,810
Verona,4850,+19),2565,432,1853,1094
Vicenza,2728,+6),1094,234,1400,1075
Belluno,1140,0,561,90,489,1032
Rovigo,429,0,239,31,159,603
Domicilio fuori Veneto,292,0,160,13,119,
Assegnazione in corso,30,-3,30,0,0,
