residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3794,+3),678,251,2865,566
Cluster domiciliati Comune di Vò,88,0,2,3,83,
Treviso,2563,+1),938,272,1353,1170
Venezia,2558,+25),613,238,1707,788
Verona,4864,+14),2492,442,1930,1050
Vicenza,2735,+7),1036,238,1461,1016
Belluno,1141,+1),557,91,493,992
Rovigo,429,0,233,31,165,593
Domicilio fuori Veneto,294,+2),160,13,121,
Assegnazione in corso,30,0,30,0,0,
