residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3826,0,306,264,3256,355
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2640,+3),698,301,1641,743
Venezia,2633,+1),292,270,2071,526
Verona,5007,+1),1471,513,3023,1076
Vicenza,2818,+2),677,296,1845,464
Belluno,1153,0,334,104,715,610
Rovigo,438,0,69,34,335,205
Domicilio fuori Veneto,309,0,146,13,150,
Assegnazione in corso,34,0,34,0,0,
