residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),1981,+57),3270
Cluster domiciliati Comune di Vò,85,0,
Treviso,1363,+4),3868
Venezia,1031,+12),4259
Verona,1790,+36),3836
Vicenza,1068,+32),2426
Belluno,394,+27),1193
Rovigo,124,+2),1148
Domicilio fuori Veneto,161,+9),
Assegnazione in corso,103,-9,
