residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),1312,+24),2669
Cluster domiciliati Comune di Vò,83,0,52
Treviso,1013,+14),2019
Venezia,807,+8),3489
Verona,1147,+48),2965
Vicenza,720,+29),2464
Belluno,262,+8),1043
Rovigo,80,0,675
Domicilio fuori Veneto,101,+10),
Assegnazione in corso,113,-8,
