residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3856,0,40,299,3517,83
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2669,0,121,324,2224,145
Venezia,2681,0,69,298,2314,137
Verona,5123,0,68,572,4483,239
Vicenza,2860,+1),71,343,2446,40
Belluno,1185,0,30,112,1043,45
Rovigo,444,0,8,36,400,52
Domicilio fuori Veneto,323,+1),119,15,189,
Assegnazione in corso,24,0,23,0,1,
