residenza,totale positivi,delta
Padova (escluso domiciliati Vo'),592,+16)
Cluster domiciliati Comune di Vò,82,0
Treviso,425,+12)
Venezia,328,0
Verona,364,+29)
Vicenza,253,+18)
Belluno,82,0
Rovigo,27,0
Domicilio fuori Veneto,32,0
Assegnazione in corso,61,-1
