residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),2118,+15),3532
Cluster domiciliati Comune di Vò,85,0,
Treviso,1459,+10),4346
Venezia,1127,+20),4256
Verona,2054,+72),3392
Vicenza,1180,+12),2567
Belluno,425,+2),1231
Rovigo,131,0,571
Domicilio fuori Veneto,166,+1),
Assegnazione in corso,108,-3,
