residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3855,0,48,297,3510,88
Cluster domiciliati Comune di Vò,88,0,0,4,84,
Treviso,2666,+1),163,320,2183,205
Venezia,2679,+1),88,297,2294,90
Verona,5113,+1),151,570,4392,242
Vicenza,2855,0,74,338,2443,84
Belluno,1183,+1),48,112,1023,42
Rovigo,443,0,9,34,400,45
Domicilio fuori Veneto,316,-1,114,15,187,
Assegnazione in corso,27,+1),26,0,1,
