residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3069,+22),2574,139,356,4853
Cluster domiciliati Comune di Vò,87,0,14,3,70,
Treviso,1912,+6),1427,149,336,3570
Venezia,1760,+9),1245,117,398,3328
Verona,3090,+41),2675,227,188,2446
Vicenza,1928,+43),1516,98,314,2599
Belluno,644,+24),549,30,65,1171
Rovigo,250,+1),199,12,39,586
Domicilio fuori Veneto,229,0,182,8,39,
Assegnazione in corso,117,+7),116,1,0,
