residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3877,0,55,308,3514,65
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2688,0,56,326,2306,168
Venezia,2690,+1),26,301,2363,188
Verona,5130,0,35,577,4518,266
Vicenza,2873,0,50,353,2470,67
Belluno,1196,0,21,113,1062,92
Rovigo,444,0,2,36,406,24
Domicilio fuori Veneto,330,+1),117,15,198,
Assegnazione in corso,25,0,23,0,2,
