residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3844,0,67,287,3490,144
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2659,0,271,314,2074,214
Venezia,2667,+2),138,287,2242,194
Verona,5101,+1),433,557,4111,327
Vicenza,2848,-1,214,325,2309,145
Belluno,1173,0,95,110,968,157
Rovigo,442,0,10,34,398,86
Domicilio fuori Veneto,316,0,120,14,182,
Assegnazione in corso,28,0,27,0,1,
