residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3856,0,47,299,3510,114
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2669,0,132,324,2213,234
Venezia,2680,0,70,298,2312,84
Verona,5121,0,81,572,4468,247
Vicenza,2858,0,71,343,2444,51
Belluno,1185,0,34,112,1039,56
Rovigo,443,0,8,35,400,47
Domicilio fuori Veneto,323,0,119,15,189,
Assegnazione in corso,24,0,23,0,1,
