residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3855,0,45,299,3511,116
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2669,0,121,324,2224,132
Venezia,2681,0,69,298,2314,129
Verona,5122,0,76,572,4474,234
Vicenza,2859,0,71,343,2445,50
Belluno,1185,0,33,112,1040,49
Rovigo,445,+1),8,36,401,48
Domicilio fuori Veneto,322,0,118,15,189,
Assegnazione in corso,24,0,23,0,1,
