residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3841,0,182,275,3384,183
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2656,0,437,312,1907,396
Venezia,2658,+1),206,282,2170,370
Verona,5079,0,725,551,3803,597
Vicenza,2835,0,456,314,2065,280
Belluno,1165,+3),173,110,882,348
Rovigo,442,0,46,34,362,134
Domicilio fuori Veneto,315,0,129,13,173,
Assegnazione in corso,28,-2,27,0,1,
