residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3748,+9),1173,234,2341,1108
Cluster domiciliati Comune di Vò,88,0,5,3,80,
Treviso,2483,+7),1107,252,1124,1389
Venezia,2418,+52),818,200,1400,852
Verona,4556,+30),2926,403,1227,1317
Vicenza,2596,+25),1427,204,965,1387
Belluno,1061,+1),655,72,334,1248
Rovigo,424,+2),272,29,123,585
Domicilio fuori Veneto,284,+2),169,10,105,
Assegnazione in corso,50,+1),49,1,0,
