residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3774,+7),937,245,2592,818
Cluster domiciliati Comune di Vò,88,0,4,3,81,
Treviso,2518,+5),1020,259,1239,1345
Venezia,2471,+12),729,215,1527,853
Verona,4709,+30),2780,416,1513,1235
Vicenza,2680,+24),1227,218,1235,1254
Belluno,1111,+2),635,79,397,1128
Rovigo,430,+3),256,31,143,549
Domicilio fuori Veneto,281,+1),155,13,113,
Assegnazione in corso,36,0,36,0,0,
