residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3806,+3),512,251,3043,474
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2607,0,912,279,1416,1028
Venezia,2592,+12),493,246,1853,678
Verona,4935,+1),2084,466,2385,921
Vicenza,2768,+12),948,266,1554,745
Belluno,1146,0,484,96,566,886
Rovigo,432,+2),201,31,200,431
Domicilio fuori Veneto,295,+1),146,12,137,
Assegnazione in corso,33,0,33,0,0,
