residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),1120,+48),2669
Cluster domiciliati Comune di Vò,83,0,52
Treviso,864,+58),1775
Venezia,685,+19),3120
Verona,993,+39),2619
Vicenza,594,+22),2182
Belluno,216,+4),689
Rovigo,68,0,483
Domicilio fuori Veneto,80,+4),
Assegnazione in corso,106,-2,
