residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3715,+8),1552,227,1936,1143
Cluster domiciliati Comune di Vò,87,0,5,3,79,
Treviso,2439,+19),1212,238,989,1704
Venezia,2342,+2),955,187,1200,1104
Verona,4473,+75),2982,342,1149,1356
Vicenza,2536,+53),1503,191,842,1498
Belluno,1047,+5),724,61,262,1304
Rovigo,416,+3),279,28,109,613
Domicilio fuori Veneto,291,+3),176,10,105,
Assegnazione in corso,45,-6,44,1,0,
