residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),2794,+18),2482,117,195,4274
Cluster domiciliati Comune di Vò,87,0,17,3,67,
Treviso,1731,+5),1396,130,205,4072
Venezia,1508,+21),1248,102,158,4198
Verona,2792,+37),2489,202,101,2524
Vicenza,1715,+11),1437,90,188,2620
Belluno,577,+19),518,27,32,1328
Rovigo,203,0,178,6,19,579
Domicilio fuori Veneto,203,-2,173,6,24,
Assegnazione in corso,88,+1),87,1,0,
