residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3802,+1),560,251,2991,528
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2605,+17),924,276,1405,1003
Venezia,2578,+3),495,246,1837,696
Verona,4922,+5),2142,463,2317,966
Vicenza,2752,+4),980,264,1508,882
Belluno,1145,0,497,94,554,889
Rovigo,430,+1),200,31,199,539
Domicilio fuori Veneto,294,-2,147,13,134,
Assegnazione in corso,33,+2),33,0,0,
