residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3851,+6),50,296,3505,111
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2666,+1),177,319,2170,92
Venezia,2674,-1,89,295,2290,118
Verona,5109,0,185,570,4354,268
Vicenza,2855,0,100,334,2421,116
Belluno,1179,0,63,111,1005,73
Rovigo,443,+1),9,34,400,45
Domicilio fuori Veneto,315,+1),113,15,187,
Assegnazione in corso,27,0,26,0,1,
