residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),2588,+42),2294,103,191,4424
Cluster domiciliati Comune di Vò,86,0,17,3,66,
Treviso,1689,+2),1374,122,193,4183
Venezia,1379,+17),1139,96,144,4318
Verona,2567,+20),2282,189,96,2539
Vicenza,1636,+28),1392,79,165,2657
Belluno,535,+13),484,22,29,1324
Rovigo,184,0,162,5,17,613
Domicilio fuori Veneto,204,-1,177,5,22,
Assegnazione in corso,78,+1),78,0,0,
