residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3468,+18),2294,186,988,3228
Cluster domiciliati Comune di Vò,87,0,8,3,76,
Treviso,2235,+100),1576,190,469,2818
Venezia,2061,+25),1196,150,715,2063
Verona,3760,+30),3051,277,432,1839
Vicenza,2186,+16),1552,141,493,2312
Belluno,792,+37),649,41,102,1084
Rovigo,299,+2),213,21,65,558
Domicilio fuori Veneto,261,+2),183,9,69,
Assegnazione in corso,70,-1,69,1,0,
