residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3841,0,178,276,3387,175
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2656,0,420,312,1924,427
Venezia,2660,+2),200,282,2178,350
Verona,5079,0,706,551,3822,556
Vicenza,2839,+4),429,314,2096,261
Belluno,1165,0,153,110,902,344
Rovigo,442,0,44,34,364,132
Domicilio fuori Veneto,315,0,129,13,173,
Assegnazione in corso,28,0,27,0,1,
