residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3821,+2),363,264,3194,387
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2622,+1),730,296,1596,835
Venezia,2625,+3),357,261,2007,622
Verona,4980,+2),1722,495,2763,1027
Vicenza,2799,+4),729,290,1780,554
Belluno,1151,0,383,102,666,723
Rovigo,436,0,145,34,257,288
Domicilio fuori Veneto,304,+1),147,12,145,
Assegnazione in corso,32,0,32,0,0,
