residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3846,-1,50,295,3501,112
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2665,0,243,320,2102,118
Venezia,2671,0,100,291,2280,126
Verona,5107,0,215,567,4325,286
Vicenza,2852,0,126,328,2398,116
Belluno,1179,+2),74,111,994,75
Rovigo,443,0,9,34,400,45
Domicilio fuori Veneto,317,-1,112,15,190,
Assegnazione in corso,26,0,25,0,1,
