residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3856,0,48,299,3509,137
Cluster domiciliati Comune di Vò,88,0,0,4,84,
Treviso,2667,0,130,324,2213,229
Venezia,2680,0,70,298,2312,102
Verona,5119,0,79,572,4468,263
Vicenza,2856,0,63,343,2450,50
Belluno,1184,+1),35,112,1037,53
Rovigo,443,0,8,35,400,62
Domicilio fuori Veneto,322,0,118,15,189,
Assegnazione in corso,24,0,23,0,1,
