residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3874,+1),52,304,3518,39
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2687,0,58,326,2303,152
Venezia,2684,0,22,300,2362,140
Verona,5130,0,39,574,4517,232
Vicenza,2873,0,50,352,2471,74
Belluno,1195,0,23,112,1060,92
Rovigo,444,0,2,36,406,39
Domicilio fuori Veneto,328,0,116,15,197,
Assegnazione in corso,24,0,22,0,2,
