residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3731,+16),1423,228,2080,1139
Cluster domiciliati Comune di Vò,87,0,4,3,80,
Treviso,2453,+14),1179,238,1036,1533
Venezia,2347,+5),875,193,1279,966
Verona,4492,+19),2967,352,1173,1322
Vicenza,2554,+18),1492,196,866,1482
Belluno,1050,+3),701,66,283,1282
Rovigo,417,+1),277,28,112,595
Domicilio fuori Veneto,294,+3),175,10,109,
Assegnazione in corso,46,+1),45,1,0,
