residenza,totale positivi,delta
Belluno,30,+1)
Padova,284,+43)
Rovigo,14,+4)
Treviso,185,+27)
Venezia,179,+19)
Verona,110,+4)
Vicenza,92,+17)
Cluster domiciliati Comune di Vò,89,0
Lombardia,5,0
Assegnazione in corso,35,-5
