residenza,totale positivi,delta
Padova (escluso domiciliati Vo'),652,+19)
Cluster domiciliati Comune di Vò,82,0
Treviso,466,+14)
Venezia,359,+3)
Verona,438,+13)
Vicenza,292,+5)
Belluno,106,+5)
Rovigo,28,+1)
Domicilio fuori Veneto,34,+1)
Assegnazione in corso,84,+7)
