residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3767,+4),1076,244,2447,876
Cluster domiciliati Comune di Vò,88,0,12,3,73,
Treviso,2513,+2),1081,258,1174,1341
Venezia,2459,+21),757,214,1488,904
Verona,4679,+13),2842,414,1423,1241
Vicenza,2656,+12),1284,218,1154,1307
Belluno,1109,+2),672,79,358,1248
Rovigo,427,0,273,31,123,554
Domicilio fuori Veneto,280,0,158,13,109,
Assegnazione in corso,36,0,36,0,0,
