residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3873,0,52,303,3518,39
Cluster domiciliati Comune di Vò,88,0,0,5,83,
Treviso,2687,0,59,326,2302,152
Venezia,2684,+1),22,300,2362,140
Verona,5130,+1),40,574,4516,232
Vicenza,2873,+2),52,352,2469,74
Belluno,1195,+1),23,112,1060,92
Rovigo,444,0,2,36,406,39
Domicilio fuori Veneto,328,0,116,15,197,
Assegnazione in corso,24,+1),22,0,2,
