residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),2227,48,2026,79,122,3291
Cluster domiciliati Comune di Vò,85,0,23,3,59,
Treviso,1529,7,1306,108,115,4398
Venezia,1192,22,1038,71,83,4252
Verona,2221,109,2037,145,39,3592
Vicenza,1272,30,1145,67,60,2592
Belluno,441,11,409,12,20,1269
Rovigo,135,-1,123,3,9,551
Domicilio fuori Veneto,186,18,166,4,16,
Assegnazione in corso,86,-25,86,0,0,
