residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3818,+2),383,262,3173,426
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2619,+1),817,286,1516,911
Venezia,2618,+1),379,256,1983,612
Verona,4968,+1),1820,488,2660,944
Vicenza,2792,+3),794,285,1713,588
Belluno,1150,0,430,101,619,741
Rovigo,436,+1),147,34,255,290
Domicilio fuori Veneto,303,+1),151,12,140,
Assegnazione in corso,31,0,31,0,0,
