residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),1835,+28),3270
Cluster domiciliati Comune di Vò,84,0,
Treviso,1325,+15),3156
Venezia,976,+21),4174
Verona,1688,+43),3641
Vicenza,989,+23),2408
Belluno,357,+28),1170
Rovigo,122,0,1076
Domicilio fuori Veneto,150,+16),
Assegnazione in corso,124,-21,
