residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3634,+28),1889,205,1540,1458
Cluster domiciliati Comune di Vò,87,0,7,3,77,
Treviso,2351,+26),1378,213,760,2145
Venezia,2191,+14),1012,170,1009,1929
Verona,4070,+72),3010,318,742,1563
Vicenza,2390,+11),1549,158,683,2204
Belluno,967,+63),718,52,197,1184
Rovigo,369,+62),266,24,79,576
Domicilio fuori Veneto,284,+6),188,10,86,
Assegnazione in corso,61,-5,60,1,0,
