residenza,totale positivi,delta
Padova (escluso domiciliati Vo'),538,+9)
Cluster domiciliati Comune di Vò,82,0
Treviso,392,+16)
Venezia,296,+14)
Verona,281,+6)
Vicenza,220,+56)
Belluno,78,0
Rovigo,27,0
Domicilio fuori Veneto,32,+3)
Assegnazione in corso,48,-47
