residenza,totale positivi,delta
Padova (escluso domiciliati Vo'),420,+62)
Cluster domiciliati Comune di Vò,85,+4)
Treviso,310,+31)
Venezia,220,+15)
Verona,170,+20)
Vicenza,123,+1)
Belluno,52,+4)
Rovigo,13,0
Domicilio fuori Veneto,20,0
Assegnazione in corso,45,-63
