residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3748,0,1098,236,2414,946
Cluster domiciliati Comune di Vò,88,0,5,3,80,
Treviso,2487,+4),1107,255,1125,1360
Venezia,2425,+7),791,208,1426,829
Verona,4627,+71),2863,411,1353,1298
Vicenza,2616,+20),1365,211,1040,1393
Belluno,1084,+23),664,72,348,1248
Rovigo,426,+2),272,30,124,587
Domicilio fuori Veneto,286,+2),166,11,109,
Assegnazione in corso,38,-12,38,0,0,
