residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),1600,+48),3270
Cluster domiciliati Comune di Vò,84,0,
Treviso,1188,+11),2376
Venezia,880,+6),3905
Verona,1317,+13),3266
Vicenza,856,+32),2303
Belluno,306,+8),1149
Rovigo,105,+18),890
Domicilio fuori Veneto,128,+15),
Assegnazione in corso,118,-11,
