residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3783,0,755,250,2778,662
Cluster domiciliati Comune di Vò,88,0,2,3,83,
Treviso,2558,+1),957,269,1332,1191
Venezia,2515,+2),654,228,1633,869
Verona,4824,+3),2659,430,1735,1157
Vicenza,2719,0,1154,230,1335,1185
Belluno,1135,0,586,85,464,1063
Rovigo,430,0,244,31,155,652
Domicilio fuori Veneto,291,+1),162,13,116,
Assegnazione in corso,35,-2,35,0,0,
