residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3420,+57),2363,180,877,4882
Cluster domiciliati Comune di Vò,87,0,8,3,76,
Treviso,2133,+100),1537,173,423,2864
Venezia,2031,+18),1229,141,661,3349
Verona,3684,+35),3064,267,353,1871
Vicenza,2155,+19),1579,125,451,2380
Belluno,751,+28),623,40,88,1052
Rovigo,295,+4),218,21,56,560
Domicilio fuori Veneto,257,+7),188,8,61,
Assegnazione in corso,71,-8,70,1,0,
