residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3664,+30),1814,209,1641,1398
Cluster domiciliati Comune di Vò,87,0,6,3,78,
Treviso,2386,+35),1342,217,827,1904
Venezia,2279,+88),1035,175,1069,1207
Verona,4164,+94),3007,325,832,1548
Vicenza,2433,+43),1534,161,738,2125
Belluno,979,+12),713,56,210,1169
Rovigo,400,+31),294,24,82,563
Domicilio fuori Veneto,288,+4),189,10,89,
Assegnazione in corso,58,-3,57,1,0,
