residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3845,0,53,292,3500,133
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2663,0,248,316,2099,146
Venezia,2668,+1),105,291,2272,145
Verona,5105,-1,307,565,4233,321
Vicenza,2852,+1),157,326,2369,120
Belluno,1176,0,85,111,980,125
Rovigo,442,0,9,34,399,67
Domicilio fuori Veneto,316,0,115,15,186,
Assegnazione in corso,28,0,27,0,1,
