residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3832,+1),268,270,3294,291
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2650,+2),661,306,1683,551
Venezia,2644,+4),245,276,2123,530
Verona,5057,+1),1173,529,3355,958
Vicenza,2831,+1),628,300,1903,430
Belluno,1153,0,291,105,757,522
Rovigo,440,0,69,34,337,177
Domicilio fuori Veneto,311,0,136,13,162,
Assegnazione in corso,34,+1),34,0,0,
