residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3835,0,256,271,3308,220
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2650,0,589,308,1753,549
Venezia,2644,0,239,277,2128,462
Verona,5053,0,1060,537,3456,904
Vicenza,2831,0,597,305,1929,414
Belluno,1153,0,275,105,773,487
Rovigo,440,0,64,34,342,174
Domicilio fuori Veneto,310,0,132,13,165,
Assegnazione in corso,34,0,34,0,0,
