residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3843,0,130,279,3434,177
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2657,0,313,313,2031,316
Venezia,2658,+2),169,286,2203,245
Verona,5093,0,570,556,3967,463
Vicenza,2845,0,310,321,2214,197
Belluno,1165,0,118,110,937,314
Rovigo,442,0,35,34,373,122
Domicilio fuori Veneto,316,-1,126,14,176,
Assegnazione in corso,28,0,27,0,1,
