residenza,totale positivi,delta,isolamento
Padova (escluso domiciliati Vo'),816,+16),1995
Cluster domiciliati Comune di Vò,82,0,52
Treviso,617,+26),1410
Venezia,451,+25),1853
Verona,663,+37),1811
Vicenza,420,+27),1362
Belluno,150,+10),471
Rovigo,52,+19),465
Domicilio fuori Veneto,49,+1),
Assegnazione in corso,84,+9),
