residenza,totale positivi,delta,attualmente positivi,totale deceduti,negativizzati virologici,isolamento
Padova (escluso domiciliati Vo'),3840,0,193,273,3374,198
Cluster domiciliati Comune di Vò,88,0,1,3,84,
Treviso,2655,0,451,309,1895,429
Venezia,2655,+3),211,281,2163,381
Verona,5077,0,780,550,3747,724
Vicenza,2835,+1),489,311,2035,304
Belluno,1162,0,177,109,876,413
Rovigo,442,0,45,34,363,170
Domicilio fuori Veneto,314,+1),129,13,172,
Assegnazione in corso,30,-4,29,0,1,
